IPoAC,"IP over Avian Carriers","Humorous protocol demonstrating the use of carrier pigeons for IP transmission.","Not very common"
IPoE,IPoE,"Method for carrying IP traffic over Ethernet networks.","Not very common"
LAPB,LAPB,"Protocol for reliable data transfer in X.25 networks.","Not very common"
LAP,"Link access procedure","General term for procedures used in various link-layer protocols.","Not very common"
LAPF,"Link Access Procedure for Frame Relay","Protocol for Frame Relay networks、 used to manage data frames.","Not very common"
LAG,"Link aggregation","Method for combining multiple network connections into a single logical link for increased bandwidth.",Common
LCP,"Link Control Protocol","Protocol used to establish、 configure、 and test data link connections in PPP.",Common
LL,"Link layer","The data link layer in the OSI model responsible for node-to-node communication.",Common
LLDP,"Link Layer Discovery Protocol","Protocol for discovering and identifying network devices on the local network.",Common
LLS,"Link layer security","Security measures applied at the link layer of a network.","Not very common"
LLTD,"Link Layer Topology Discovery","Protocol for discovering network topology and devices.","Not very common"
LocalTalk,LocalTalk,"Apple networking protocol for local area networking using serial communication.","Not very common"
MAC,"Medium access control","Sublayer of the data link layer that manages access to the physical transmission medium.",Common
MRP,"Metro Ring Protocol","Protocol for ring-based network topologies in metropolitan area networks.","Not very common"
MLAG,"Multi-chassis link aggregation group","Technology for aggregating links across multiple network switches.","Not very common"
MLT,"Multi-link trunking","Method for aggregating multiple network links to increase bandwidth and redundancy.","Not very common"
MSTP,"Multiple Spanning Tree Protocol","Enhancement of STP that allows multiple spanning trees for better network management.","Not very common"
MPE,"Multiprotocol Encapsulation","Protocol for encapsulating multiple types of network traffic.","Not very common"
NDP,"Neighbor Discovery Protocol","Protocol used in IPv6 networks for discovering neighboring devices and determining their link-layer addresses.",Common
PLIP,"Parallel Line Internet Protocol","Old protocol for transferring data over parallel port connections.","Not very common"
PAROLI,PAROLI,"Less common protocol related to data link layer operations.","Not very common"
PPP,"Point-to-Point Protocol","Protocol for establishing direct connections between two network nodes.",Common
PAP,"Port Aggregation Protocol","Protocol for combining multiple network ports into a single logical link.","Not very common"
RLP,"Radio Link Protocol","Protocol for managing radio communications in wireless networks.","Not very common"
RARP,"Reverse Address Resolution Protocol","Protocol used to determine the IP address of a device given its MAC address.",Common
SEND,"Secure Neighbor Discovery","Protocol that adds security features to the IPv6 Neighbor Discovery Protocol.","Not very common"
Semaphore,"Semaphore Flag Signaling System","Signaling system using flags to communicate across distances、 historically used in telegraphy.","Not very common"
SLIP,"Serial Line Internet Protocol","Old protocol for transmitting IP packets over serial lines.",Common
SPB,"Shortest Path Bridging","Technology for improving Ethernet networks by using shortest path routing.","Not very common"
SLPP,"Simple Loop Prevention Protocol","Protocol for preventing network loops in Ethernet networks.","Not very common"
SCA,"Software Communications Architecture","Framework for developing software-defined radios and communication systems.","Not very common"
STP,"Spanning Tree Protocol","Protocol for preventing network loops in Ethernet networks by creating a loop-free topology.",Common
SNAP,"Subnetwork Access Protocol","Extension of IEEE 802.2 LLC that supports multiple network protocols.","Not very common"
SDLC,"Synchronous Data Link Control","Protocol for synchronous data transmission in networks.","Not very common"
STR,"Synchronous transmit-receive","Protocol for synchronizing data transmission and reception.","Not very common"
"Token Bus","Token bus network","Network protocol that uses a token-passing mechanism to manage access to the network.","Not very common"
"Token Ring","Token Ring","Network protocol where nodes are arranged in a ring and a token circulates to control access to the network.","Not very common"
TRILL,TRILL,"Protocol for improving Ethernet network scalability by using routing within the data link layer.","Not very common"
ULWE,"Unidirectional Lightweight Encapsulation","Protocol for encapsulating data in unidirectional communication channels.","Not very common"
ULD,"Unidirectional Link Detection","Method for detecting the presence of a unidirectional link in a network.","Not very common"
V5,"V5 interface","Standard for network interface protocols used in telecommunications.","Not very common"
VB5,"VB5 interface","Enhanced version of the V5 interface.","Not very common"
VLACP,"Virtual Link Aggregation Control Protocol","Protocol for managing and monitoring link aggregation groups.","Not very common"
VLTrunk,"Virtual Link Trunking","Technology for managing virtual trunks in network links.","Not very common"
ZCS,"Zero code suppression","Method for reducing the number of code violations in data transmission.","Not very common"
ARP,"Address Resolution Protocol","A network protocol used to map an IP address to a physical MAC address on a local network.",Common
ATP,"Asynchronous Transfer Protocol","A protocol used for reliable data transfer in networks、 often in conjunction with other protocols.","Not very common"
CSLIP,"Compressed Serial Link Internet Protocol","An optimization of SLIP (Serial Line Internet Protocol) that reduces the overhead in serial line connections by compressing headers.","Not very common"
"Frame Relay","Frame Relay","A high-performance WAN protocol that provides a fast and efficient way to transmit data over digital networks using variable-length packets called frames.",Common
GFP,"Generic Framing Procedure","A protocol used in optical networks to encapsulate various types of data into frames for efficient transport over a network.","Not very common"
"ITU-T G.hn DLL","ITU-T G.hn Data Link Layer","A standard for high-speed networking over existing electrical wiring、 coaxial cables、 and phone lines、 defined by the ITU-T G.hn recommendation.","Not very common"
LLC,"Logical Link Control","A sublayer of the Data Link Layer in the OSI model that provides a way to manage the communication between network devices and ensures reliable data transfer.",Common
L2TP,"Layer 2 Tunneling Protocol","A tunneling protocol used to support virtual private networks (VPNs) and deliver data over the internet or other networks.",Common
"Q.922 LAPF","Q.922 Link Access Procedure for Frame Relay","A protocol defined by the ITU-T for managing frame relay networks at the link layer、 ensuring reliable data transfer across the network.","Not very common"
SDLC,"Synchronous Data Link Control","A communication protocol used for establishing a reliable link between devices、 commonly used in IBM systems and other environments for data communication.","Not very common"
"X.25 LAPB","X.25 Link Access Procedure、 Balanced","A protocol used in X.25 networks for the reliable exchange of data frames、 balancing communication between two devices.","Not very common"
ARP,"Address Resolution Protocol","A network protocol used to map an IP address to a physical MAC address on a local network.",Common
